dataset,algorithm,status,n_samples,n_features,true_k,ari,ami,nmi,silhouette,n_pred_clusters,time_seconds
moons_2d_2000,kmeans--,ok,2000,2,2,0.46622199056812935,0.3691007418458099,0.3693284655028564,0.48980334347370397,2,0.63
moons_2d_2000,hdbscan,ok,2000,2,2,0.9939577116088701,0.9837704178311542,0.9837763230893645,0.3841639905019999,2,0.05
moons_2d_500,deltric,ok,500,2,2,1.0,1.0,1.0,0.3789808013633681,2,0.06
moons_2d_500,kmeans--,ok,500,2,2,0.4504838929809108,0.35601603240979734,0.35694825028129945,0.4871155638349395,2,0.44
moons_2d_500,hdbscan,ok,500,2,2,0.9919678392294453,0.9810915086401318,0.9811189803356759,0.37547876392593577,2,0.03
no_struct_10d_gauss_1000,deltric,ok,1000,10,1,nan,nan,nan,nan,1,7.29
no_struct_10d_gauss_1000,kmeans--,ok,1000,10,1,0.0,0.0,0.0,0.0729817392331353,2,0.72
no_struct_10d_gauss_1000,hdbscan,ok,1000,10,1,0.0,0.0,0.0,0.1398138291242124,3,0.04
no_struct_2d_uniform_2000,deltric,ok,2000,2,1,nan,nan,nan,nan,1,0.18
no_struct_2d_uniform_2000,kmeans--,ok,2000,2,1,0.0,0.0,0.0,0.3555495786190454,2,0.83
no_struct_2d_uniform_2000,hdbscan,ok,2000,2,1,0.0,0.0,0.0,0.3986695767140056,50,0.04
no_struct_2d_uniform_500,deltric,ok,500,2,1,nan,nan,nan,nan,1,0.08
no_struct_2d_uniform_500,kmeans--,ok,500,2,1,0.0,0.0,0.0,0.359216386739741,2,0.63
no_struct_2d_uniform_500,hdbscan,ok,500,2,1,0.0,0.0,0.0,0.4053249707587393,24,0.05
no_struct_5d_uniform_1000,deltric,ok,1000,5,1,nan,nan,nan,nan,1,8.84
no_struct_5d_uniform_1000,kmeans--,ok,1000,5,1,0.0,0.0,0.0,0.1499579594061839,2,0.7
no_struct_5d_uniform_1000,hdbscan,ok,1000,5,1,0.0,0.0,0.0,0.26354481850004347,24,0.04
varied_10d_4c,deltric,ok,2000,10,4,1.0,1.0,1.0,0.6787101963641877,4,8.74
varied_10d_4c,kmeans--,ok,2000,10,4,1.0,1.0,1.0,0.6778436356213595,4,0.52
varied_10d_4c,hdbscan,ok,2000,10,4,1.0,1.0,1.0,0.6778436356213595,4,0.06
varied_2d_3c,deltric,ok,1500,2,3,0.5978560445507567,0.7218754556167745,0.7225857978269598,0.4380138939934293,4,0.14
varied_2d_3c,kmeans--,ok,1500,2,3,0.7313283703233153,0.7329138327338063,0.7332406270002069,0.5787000961609609,3,0.61
varied_2d_3c,hdbscan,ok,1500,2,3,0.5696410696640357,0.7243439013078753,0.7245561884776108,0.6846588480551474,2,0.04
varied_2d_5c,deltric,ok,2500,2,5,0.21283653870081196,0.4675039692230501,0.4694880881309912,0.0855663194399585,5,0.44
varied_2d_5c,kmeans--,ok,2500,2,5,0.662824611082982,0.7523122466740325,0.7528165925384224,0.523655711213458,5,0.68
varied_2d_5c,hdbscan,ok,2500,2,5,0.6883799533942176,0.7858207261430282,0.7866945419038736,0.5918348324333688,7,0.06
varied_5d_3c,deltric,ok,1500,5,3,1.0,1.0,1.0,0.8047401382843314,3,8.12
varied_5d_3c,kmeans--,ok,1500,5,3,1.0,1.0,1.0,0.7983387941573301,3,0.48
varied_5d_3c,hdbscan,ok,1500,5,3,1.0,1.0,1.0,0.7983387941573301,3,0.04
wine,deltric,ok,178,13,3,nan,nan,nan,nan,1,8.04
wine,kmeans--,ok,178,13,3,0.8974949815093207,0.874579440437926,0.8758935341223069,0.28485891918989864,3,0.55
wine,hdbscan,ok,178,13,3,0.5185153370203155,0.6656794288122081,0.6690984664663773,0.35240244565246587,2,0.03
